Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
FI;Helsinki;HEL;Site 1;60.21889114379883;25.19972038269043;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 2;60.2136116027832;25.195560455322266;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 3;60.18082809448242;24.968889236450195;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 4;60.16416931152344;24.965280532836914;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 5;60.16305923461914;24.956939697265625;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 6;60.1522216796875;24.919719696044922;3.299999952316284;5.0;Target HELCOM
FI;Helsinki;HEL;Site 7;60.15999984741211;24.903610229492188;3.299999952316284;5.0;Target HELCOM
GE;Hamburg;DEHAM;HH_A_Petroleumhafen;53.53643035888672;9.901530265808105;0.0;0.5099999904632568;Target OSPAR
GE;Hamburg;DEHAM;HH_B Seemannshöft;53.53960037231445;9.88064956665039;0.0;0.49000000953674316;Target OSPAR
GE;Hamburg;DEHAM;HH_C Alte Süderelbe;53.48637008666992;9.956319808959961;0.0;0.46000000834465027;Target OSPAR
GE;Hamburg;DEHAM;HH_D Hansahafen;53.48637008666992;9.956319808959961;0.0;0.49000000953674316;Target OSPAR
GE;Kiel;DEKEL;Kiel Tiessenkai;54.36909866333008;10.145700454711914;17.799999237060547;18.5;Target HELCOM
GE;Kiel;DEKEL;Kiel Tierpitzhafen;54.35559844970703;10.14210033416748;16.530000686645508;16.84000015258789;Target HELCOM
GE;Kiel;DEKEL;Kiel Thyssen-Krupp-Hafen;54.317901611328125;10.144000053405762;16.059999465942383;16.549999237060547;Target HELCOM
LV;Riga;RIG;Site 1;57.052101135253906;24.030099868774414;0.23999999463558197;5.070000171661377;Target HELCOM
LV;Riga;RIG;Site 2;57.02170181274414;24.08609962463379;0.23999999463558197;5.070000171661377;Target HELCOM
LV;Riga;RIG;Site 3;57.02159881591797;24.085899353027344;0.23999999463558197;5.070000171661377;Target HELCOM
LV;Ventspils;VEN;Site 1;57.39609909057617;21.55109977722168;6.059999942779541;6.909999847412109;Target HELCOM
LV;Ventspils;VEN;Site 2;57.395301818847656;21.540700912475586;6.059999942779541;6.909999847412109;Target HELCOM
LV;Ventspils;VEN;Site 3;57.405799865722656;21.543399810791016;6.059999942779541;6.909999847412109;Target HELCOM
LV;Liepaja;LIE;Site 1;56.51620101928711;21.00029945373535;5.960000038146973;6.840000152587891;Target HELCOM
LV;Liepaja;LIE;Site 2;56.51319885253906;21.0137996673584;5.960000038146973;6.840000152587891;Target HELCOM
LV;Liepaja;LIE;Site 5;56.52439880371094;20.995800018310547;5.960000038146973;6.840000152587891;Target HELCOM
LV;Liepaja;LIE;Site 6;56.52330017089844;20.983200073242188;5.960000038146973;6.840000152587891;Target HELCOM
LV;Liepaja;LIE;Site 7;56.53129959106445;20.9950008392334;5.960000038146973;6.840000152587891;Target HELCOM
PL;Świnoujście;PLSWI;Site 1;53.895362854003906;14.258658409118652;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 2;53.89611053466797;14.25694465637207;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 3;53.91484451293945;14.284263610839844;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 4;53.915279388427734;14.283888816833496;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 5;53.919029235839844;14.300833702087402;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 6;53.92583465576172;14.286666870117188;1.5700000524520874;7.369999885559082;Target HELCOM
PL;Świnoujście;PLSWI;Site 7;53.9300537109375;14.283833503723145;1.5700000524520874;7.369999885559082;Target HELCOM
GE;Cuxhaven;DECUX;Steubenhöft Yachthafen;53.86750030517578;8.71774959564209;15.210000038146973;22.100000381469727;Target OSPAR
GE;Cuxhaven;DECUX;Alte Liebe;53.87174987792969;8.711700439453125;15.210000038146973;22.100000381469727;Target OSPAR
GE;Cuxhaven;DECUX;Seebäderbrücke;53.87432098388672;8.707630157470703;15.210000038146973;22.100000381469727;Target OSPAR
GE;JadeWeser;DEWVN;JadeWeserPort_quay;53.60253143310547;8.148550033569336;30.100000381469727;30.700000762939453;Target OSPAR
GE;JadeWeser;DEWVN;JadeWeserPort_east swim pontoon;53.60182189941406;8.148850440979004;30.100000381469727;30.700000762939453;Target OSPAR
GE;JadeWeser;DEWVN;JadeWeserPort_west swim pontoon;53.60158157348633;8.147470474243164;30.100000381469727;30.700000762939453;Target OSPAR
SE;Malmö;SE_MMA;MMA_RAS_2;55.61859130859375;12.996930122375488;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_artificial_habitat_1;55.618629455566406;12.996910095214844;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_RAS_1;55.61869812011719;12.997150421142578;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_artificial_habitat_2;55.622920989990234;12.993809700012207;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_RAS_3;55.622928619384766;12.993749618530273;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_RAS_5;55.623199462890625;12.998909950256348;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_RAS_4;55.62343978881836;12.998860359191895;12.0;12.0;Target Joint
SE;Malmö;SE_MMA;MMA_RAS_6;55.62351989746094;13.007209777832031;12.0;12.0;Target Joint
SE;Trelleborg;SE_TRG;TRG_RAS_1;55.370880126953125;13.156900405883789;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_2;55.3713493347168;13.156970024108887;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_artificial_habitat_2;55.3713493347168;13.156920433044434;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_3;55.371620178222656;13.15703010559082;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_artificial_habitat_1;55.37163162231445;13.15697956085205;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_artificial_habitat_3;55.371761322021484;13.147109985351562;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_4;55.37179183959961;13.147109985351562;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_5;55.37232971191406;13.146129608154297;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_7;55.372859954833984;13.144220352172852;9.0;9.0;Target HELCOM
SE;Trelleborg;SE_TRG;TRG_RAS_6;55.37287139892578;13.144559860229492;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_artificial_habitat_1;55.425201416015625;13.815179824829102;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_4;55.42544174194336;13.815999984741211;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_1;55.425899505615234;13.817179679870605;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_artificial_habitat_2;55.42604064941406;13.814689636230469;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_3;55.42634963989258;13.81686019897461;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_6;55.426361083984375;13.815369606018066;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_2;55.425899505615234;13.817179679870605;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_5;55.42544174194336;13.815999984741211;9.0;9.0;Target HELCOM
